Date,MODIS_EVI
9/5/2004,0.407
9/13/2004,0.367
9/21/2004,0.416
9/29/2004,0.345
10/7/2004,0.29
10/15/2004,0.265
10/23/2004,0.239
10/31/2004,0.203
11/8/2004,
11/16/2004,
11/24/2004,0.165
12/2/2004,0.169
12/10/2004,0.155
12/18/2004,0.164
12/26/2004,0.186
1/1/2005,0.18
1/9/2005,0.161
1/17/2005,0.171
1/25/2005,0.157
2/2/2005,0.166
2/10/2005,0.161
2/18/2005,0.166
2/26/2005,0.199
3/6/2005,0.212
3/14/2005,0.158
3/22/2005,0.245
3/30/2005,0.2
4/7/2005,0.242
4/15/2005,0.401
4/23/2005,0.361
5/1/2005,
5/9/2005,0.415
5/17/2005,0.534
5/25/2005,
6/2/2005,0.629
6/10/2005,0.539
6/18/2005,0.499
6/26/2005,0.507
7/4/2005,0.57
7/12/2005,0.573
7/20/2005,0.6
7/28/2005,0.523
8/5/2005,0.47
8/13/2005,0.484
8/21/2005,0.481
8/29/2005,0.43
9/6/2005,0.414
9/14/2005,0.383
9/22/2005,0.343
9/30/2005,0.36
10/8/2005,0.335
10/16/2005,0.272
10/24/2005,0.232
11/1/2005,0.211
11/9/2005,0.203
11/17/2005,0.201
11/25/2005,0.202
12/3/2005,0.214
12/11/2005,0.204
12/19/2005,0.212
12/27/2005,0.192
1/1/2006,0.18
1/9/2006,0.197
1/17/2006,0.187
1/25/2006,0.178
2/2/2006,0.199
2/10/2006,0.175
2/18/2006,
2/26/2006,0.195
3/6/2006,0.175
3/14/2006,
3/22/2006,
3/30/2006,
4/7/2006,
4/15/2006,0.249
4/23/2006,0.317
5/1/2006,
5/9/2006,0.381
5/17/2006,0.44
5/25/2006,0.479
6/2/2006,0.451
6/10/2006,0.394
6/18/2006,0.484
6/26/2006,0.368
7/4/2006,
7/12/2006,0.39
7/20/2006,0.336
7/28/2006,0.328
8/5/2006,0.296
8/13/2006,0.303
8/21/2006,0.289
8/29/2006,0.314
9/6/2006,0.385
9/14/2006,0.329
9/22/2006,0.338
9/30/2006,0.269
10/8/2006,0.233
10/16/2006,0.207
10/24/2006,0.219
11/1/2006,0.2
11/9/2006,0.222
11/17/2006,0.16
11/25/2006,
12/3/2006,0.15
12/11/2006,0.157
12/19/2006,0.144
12/27/2006,
1/1/2007,0.152
1/9/2007,0.128
1/17/2007,
1/25/2007,0.167
2/2/2007,0.135
2/10/2007,0.147
2/18/2007,0.123
2/26/2007,0.138
3/6/2007,
3/14/2007,0.184
3/22/2007,
3/30/2007,0.273
4/7/2007,0.326
4/15/2007,0.24
4/23/2007,0.4
5/1/2007,0.469
5/9/2007,0.552
5/17/2007,0.431
5/25/2007,
6/2/2007,0.598
6/10/2007,0.563
6/18/2007,
6/26/2007,
7/4/2007,0.512
7/12/2007,0.508
7/20/2007,0.576
7/28/2007,
8/5/2007,0.537
8/13/2007,0.458
8/21/2007,0.522
8/29/2007,0.463
9/6/2007,0.419
9/14/2007,0.48
9/22/2007,0.353
9/30/2007,0.336
10/8/2007,0.326
10/16/2007,0.291
10/24/2007,0.271
11/1/2007,0.228
11/9/2007,0.216
11/17/2007,0.202
11/25/2007,0.214
12/3/2007,0.179
12/11/2007,
12/19/2007,0.175
12/27/2007,
1/1/2008,
1/9/2008,0.19
1/17/2008,0.173
1/25/2008,
2/2/2008,0.188
2/10/2008,0.187
2/18/2008,0.18
2/26/2008,
3/5/2008,
3/13/2008,
3/21/2008,0.22
3/29/2008,
4/6/2008,
4/14/2008,0.234
4/22/2008,0.288
4/30/2008,0.348
5/8/2008,0.398
5/16/2008,0.403
5/24/2008,0.48
6/1/2008,0.488
6/9/2008,0.501
6/17/2008,0.498
6/25/2008,0.551
7/3/2008,0.477
7/11/2008,0.499
7/19/2008,0.467
7/27/2008,0.427
8/4/2008,0.377
8/12/2008,0.378
8/20/2008,0.51
8/28/2008,0.421
9/5/2008,0.559
9/13/2008,0.424
9/21/2008,0.407
9/29/2008,0.357
10/7/2008,0.318
10/15/2008,0.287
10/23/2008,0.279
10/31/2008,
11/8/2008,0.211
11/16/2008,0.208
11/24/2008,0.208
12/2/2008,
12/10/2008,0.196
12/18/2008,
12/26/2008,0.176
1/1/2009,
1/9/2009,0.153
1/17/2009,
1/25/2009,0.171
2/2/2009,
2/10/2009,
2/18/2009,0.183
2/26/2009,0.227
3/6/2009,0.202
3/14/2009,0.192
3/22/2009,0.234
3/30/2009,0.226
4/7/2009,0.223
4/15/2009,0.259
4/23/2009,
5/1/2009,
5/9/2009,0.429
5/17/2009,0.486
5/25/2009,0.416
6/2/2009,0.477
6/10/2009,0.427
6/18/2009,0.44
6/26/2009,0.433
7/4/2009,0.394
7/12/2009,0.363
7/20/2009,0.351
7/28/2009,0.342
8/5/2009,0.396
8/13/2009,0.374
8/21/2009,0.45
8/29/2009,
9/6/2009,0.488
9/14/2009,
9/22/2009,0.403
9/30/2009,0.436
10/8/2009,
10/16/2009,0.307
10/24/2009,0.255
11/1/2009,0.266
11/9/2009,
11/17/2009,0.234
11/25/2009,0.203
12/3/2009,0.2
12/11/2009,0.194
12/19/2009,
12/27/2009,
1/1/2010,
1/9/2010,
1/17/2010,0.208
1/25/2010,
2/2/2010,
2/10/2010,0.175
2/18/2010,
2/26/2010,
3/6/2010,0.216
3/14/2010,
3/22/2010,
3/30/2010,0.24
4/7/2010,0.284
4/15/2010,
4/23/2010,0.381
5/1/2010,0.438
5/9/2010,0.501
5/17/2010,0.516
5/25/2010,0.589
6/2/2010,0.499
6/10/2010,
6/18/2010,0.561
6/26/2010,0.457
7/4/2010,0.498
7/12/2010,0.506
7/20/2010,0.548
7/28/2010,0.549
8/5/2010,0.545
8/13/2010,0.475
8/21/2010,0.429
8/29/2010,0.458
9/6/2010,0.447
9/14/2010,0.394
9/22/2010,0.363
9/30/2010,0.344
10/8/2010,0.3
10/16/2010,0.302
10/24/2010,0.243
11/1/2010,0.244
11/9/2010,0.214
11/17/2010,0.213
11/25/2010,0.19
12/3/2010,0.199
12/11/2010,0.178
12/19/2010,
12/27/2010,
1/1/2011,
1/9/2011,
1/17/2011,
1/25/2011,
2/2/2011,
2/10/2011,
2/18/2011,
2/26/2011,0.168
3/6/2011,0.172
3/14/2011,0.175
3/22/2011,0.192
3/30/2011,0.209
4/7/2011,0.232
4/15/2011,0.27
4/23/2011,0.268
5/1/2011,0.292
5/9/2011,0.327
5/17/2011,0.381
5/25/2011,0.412
6/2/2011,0.485
6/10/2011,0.488
6/18/2011,0.443
6/26/2011,0.447
7/4/2011,0.377
7/12/2011,0.303
7/20/2011,0.353
7/28/2011,0.284
8/5/2011,0.261
8/13/2011,0.278
8/21/2011,0.343
8/29/2011,0.293
9/6/2011,0.255
9/14/2011,0.236
9/22/2011,0.236
9/30/2011,0.214
10/8/2011,0.197
10/16/2011,0.197
10/24/2011,0.194
11/1/2011,
11/9/2011,
11/17/2011,
11/25/2011,0.188
12/3/2011,
12/11/2011,0.158
12/19/2011,0.164
12/27/2011,0.155
1/1/2012,0.16
1/9/2012,0.147
1/17/2012,0.169
1/25/2012,
2/2/2012,0.17
2/10/2012,
2/18/2012,0.176
2/26/2012,0.202
3/5/2012,0.219
3/13/2012,0.308
3/21/2012,0.375
3/29/2012,0.298
4/6/2012,
4/14/2012,0.468
4/22/2012,0.534
4/30/2012,0.555
5/8/2012,0.567
5/16/2012,0.538
5/24/2012,0.544
6/1/2012,0.514
6/9/2012,0.523
6/17/2012,0.492
6/25/2012,0.427
7/3/2012,0.439
7/11/2012,0.314
7/19/2012,0.354
7/27/2012,0.28
8/4/2012,0.293
8/12/2012,0.291
8/20/2012,0.289
8/28/2012,0.271
9/5/2012,0.242
9/13/2012,0.2
9/21/2012,0.204
9/29/2012,0.226
10/7/2012,0.22
10/15/2012,0.226
10/23/2012,0.232
10/31/2012,0.246
11/8/2012,0.208
11/16/2012,0.118
11/24/2012,
12/2/2012,
12/10/2012,
12/18/2012,
12/26/2012,0.188
1/1/2013,0.188
1/9/2013,0.161
1/17/2013,0.171
1/25/2013,0.159
2/2/2013,
2/10/2013,0.165
2/18/2013,0.147
2/26/2013,
3/6/2013,0.15
3/14/2013,0.182
3/22/2013,0.214
3/30/2013,0.236
4/7/2013,0.246
4/15/2013,0.238
4/23/2013,0.287
5/1/2013,0.343
5/9/2013,0.414
5/17/2013,0.491
5/25/2013,0.603
6/2/2013,0.538
6/10/2013,0.541
6/18/2013,0.54
6/26/2013,0.572
7/4/2013,0.614
7/12/2013,0.544
7/20/2013,0.56
7/28/2013,0.654
8/5/2013,0.604
8/13/2013,
8/21/2013,0.625
8/29/2013,0.558
9/6/2013,0.515
9/14/2013,0.429
9/22/2013,0.415
9/30/2013,0.449
10/8/2013,0.409
10/16/2013,0.377
10/24/2013,0.272
11/1/2013,0.277
11/9/2013,0.227
11/17/2013,
11/25/2013,0.225
12/3/2013,
12/11/2013,0.202
12/19/2013,
12/27/2013,0.223
1/1/2014,0.227
1/9/2014,0.181
1/17/2014,0.189
1/25/2014,0.191
2/2/2014,
2/10/2014,0.201
2/18/2014,0.192
2/26/2014,0.198
3/6/2014,0.194
3/14/2014,
3/22/2014,
3/30/2014,
4/7/2014,0.192
4/15/2014,0.214
4/23/2014,0.264
5/1/2014,0.265
5/9/2014,0.314
5/17/2014,0.343
5/25/2014,
6/2/2014,0.415
6/10/2014,0.449
6/18/2014,0.498
6/26/2014,0.52
7/4/2014,0.417
7/12/2014,0.516
7/20/2014,0.48
7/28/2014,0.402
8/5/2014,0.379
8/13/2014,0.39
8/21/2014,0.333
8/29/2014,0.329
9/6/2014,0.319
9/14/2014,0.324
9/22/2014,0.314
9/30/2014,0.314
10/8/2014,0.326
10/16/2014,0.246
10/24/2014,0.283
11/1/2014,
11/9/2014,0.181
11/17/2014,0.253
11/25/2014,0.155
12/3/2014,
12/11/2014,0.131
12/19/2014,0.225
12/27/2014,0.134
1/1/2015,
1/9/2015,0.127
1/17/2015,0.135
1/25/2015,
2/2/2015,
2/10/2015,0.146
2/18/2015,
2/26/2015,
3/6/2015,
3/14/2015,
3/22/2015,0.197
3/30/2015,0.22
4/7/2015,0.273
4/15/2015,0.287
4/23/2015,0.357
5/1/2015,0.431
5/9/2015,0.471
5/17/2015,0.456
5/25/2015,0.472
6/2/2015,0.473
6/10/2015,0.504
6/18/2015,0.541
6/26/2015,0.564
7/4/2015,0.577
7/12/2015,0.6
7/20/2015,0.551
7/28/2015,0.583
8/5/2015,0.547
8/13/2015,0.543
8/21/2015,0.601
8/29/2015,0.523
9/6/2015,0.428
9/14/2015,0.488
9/22/2015,0.404
9/30/2015,0.397
10/8/2015,0.284
10/16/2015,0.305
10/24/2015,0.268
11/1/2015,0.306
11/9/2015,0.209
11/17/2015,0.236
11/25/2015,0.283
12/3/2015,
12/11/2015,0.166
12/19/2015,
12/27/2015,
1/1/2016,
1/9/2016,
1/17/2016,0.184
1/25/2016,
2/2/2016,
2/10/2016,
2/18/2016,
2/26/2016,
3/5/2016,
3/13/2016,0.185
3/21/2016,
3/29/2016,0.185
4/6/2016,0.202
4/14/2016,0.257
4/22/2016,0.284
4/30/2016,0.309
5/8/2016,0.439
5/16/2016,
5/24/2016,0.412
6/1/2016,0.406
6/9/2016,0.421
6/17/2016,0.389
6/25/2016,0.423
7/3/2016,0.418
7/11/2016,0.525
7/19/2016,0.5
7/27/2016,0.471
8/4/2016,0.483
8/12/2016,0.444
8/20/2016,0.389
8/28/2016,
9/5/2016,0.432
9/13/2016,0.382
9/21/2016,0.331
9/29/2016,0.338
10/7/2016,0.282
10/15/2016,0.293
10/23/2016,0.31
10/31/2016,0.236
11/8/2016,0.209
11/16/2016,0.191
11/24/2016,0.184
12/2/2016,0.176
12/10/2016,
12/18/2016,0.157
12/26/2016,
1/1/2017,
1/9/2017,
1/17/2017,0.15
1/25/2017,0.149
2/2/2017,
2/10/2017,0.168
2/18/2017,0.145
2/26/2017,0.156
3/6/2017,0.114
3/14/2017,0.158
3/22/2017,0.191
3/30/2017,0.271
4/7/2017,0.239
4/15/2017,0.358
4/23/2017,0.54
5/1/2017,0.486
5/9/2017,0.475
5/17/2017,0.512
5/25/2017,0.504
6/2/2017,
6/10/2017,0.544
6/18/2017,0.57
6/26/2017,0.555
7/4/2017,0.58
7/12/2017,0.53
7/20/2017,0.474
7/28/2017,0.479
8/5/2017,0.508
8/13/2017,0.443
8/21/2017,0.507
8/29/2017,0.428
9/6/2017,0.426
9/14/2017,0.429
9/22/2017,0.318
9/30/2017,0.33
10/8/2017,0.309
10/16/2017,0.315
10/24/2017,0.235
11/1/2017,0.249
11/9/2017,0.212
11/17/2017,0.177
11/25/2017,0.182
12/3/2017,0.232
12/11/2017,0.178
12/19/2017,0.199
12/27/2017,0.179
1/1/2018,0.16
1/9/2018,0.155
1/17/2018,0.157
1/25/2018,
2/2/2018,
2/10/2018,0.103
2/18/2018,
2/26/2018,0.123
3/6/2018,0.128
3/14/2018,0.139
3/22/2018,0.181
3/30/2018,0.171
4/7/2018,0.218
4/15/2018,0.216
4/23/2018,0.343
5/1/2018,0.467
5/9/2018,0.527
5/17/2018,0.529
5/25/2018,0.572
6/2/2018,0.499
6/10/2018,0.484
6/18/2018,0.424
6/26/2018,0.483
7/4/2018,0.489
7/12/2018,0.468
7/20/2018,0.369
7/28/2018,0.38
8/5/2018,0.41
8/13/2018,0.416
8/21/2018,0.462
8/29/2018,0.541
9/6/2018,
9/14/2018,0.479
9/22/2018,0.423
9/30/2018,0.478
10/8/2018,0.381
10/16/2018,0.402
10/24/2018,0.295
11/1/2018,0.482
11/9/2018,0.211
11/17/2018,0.268
11/25/2018,0.251
12/3/2018,0.197
12/11/2018,0.233
12/19/2018,0.196
12/27/2018,
1/1/2019,
1/9/2019,
1/17/2019,
1/25/2019,
2/2/2019,
2/10/2019,
2/18/2019,
2/26/2019,
3/6/2019,
3/14/2019,0.155
3/22/2019,0.199
3/30/2019,0.178
4/7/2019,0.23
4/15/2019,0.264
4/23/2019,0.287
5/1/2019,0.417
5/9/2019,0.387
5/17/2019,0.493
5/25/2019,0.491
6/2/2019,0.475
6/10/2019,0.515
6/18/2019,0.508
6/26/2019,0.545
7/4/2019,0.482
7/12/2019,0.489
7/20/2019,0.475
7/28/2019,0.512
8/5/2019,0.473
8/13/2019,0.414
8/21/2019,0.321
8/29/2019,0.453
9/6/2019,0.364
9/14/2019,0.419
9/22/2019,0.371
9/30/2019,0.377
10/8/2019,0.356
10/16/2019,0.247
10/24/2019,0.229
11/1/2019,0.211
11/9/2019,0.196
11/17/2019,0.184
11/25/2019,
12/3/2019,0.145
12/11/2019,
12/19/2019,0.171
12/27/2019,0.223
1/1/2020,0.142
1/9/2020,
1/17/2020,0.165
1/25/2020,0.142
2/2/2020,0.204
2/10/2020,0.138
2/18/2020,0.16
2/26/2020,0.136
3/5/2020,0.145
3/13/2020,0.161
3/21/2020,0.218
3/29/2020,
4/6/2020,0.318
4/14/2020,0.214
4/22/2020,0.242
4/30/2020,0.339
5/8/2020,0.382
5/16/2020,0.387
5/24/2020,0.476
6/1/2020,0.514
6/9/2020,0.496
6/17/2020,0.533
6/25/2020,0.565
7/3/2020,0.42
7/11/2020,0.503
7/19/2020,
7/27/2020,0.5
8/4/2020,0.559
8/12/2020,0.51
8/20/2020,0.452
8/28/2020,0.424
9/5/2020,0.424
9/13/2020,
9/21/2020,0.343
9/29/2020,0.328
10/7/2020,0.296
10/15/2020,0.273
10/23/2020,0.288
10/31/2020,0.251
11/8/2020,0.187
11/16/2020,
11/24/2020,0.285
12/2/2020,0.187
12/10/2020,0.187
12/18/2020,0.171
12/26/2020,0.206
1/1/2021,
1/9/2021,0.183
1/17/2021,0.162
1/25/2021,0.186
2/2/2021,
2/10/2021,
2/18/2021,0.164
2/26/2021,
3/6/2021,0.164
3/14/2021,0.166
3/22/2021,0.18
3/30/2021,0.189
4/7/2021,0.21
4/15/2021,0.28
4/23/2021,0.22
5/1/2021,0.327
5/9/2021,0.386
5/17/2021,0.405
5/25/2021,0.454
6/2/2021,0.528
6/10/2021,0.519
6/18/2021,0.578
6/26/2021,0.57
7/4/2021,0.565
7/12/2021,0.564
7/20/2021,0.505
7/28/2021,0.529
8/5/2021,0.497
8/13/2021,0.502
8/21/2021,0.525
8/29/2021,0.417
9/6/2021,0.38
9/14/2021,0.409
9/22/2021,0.333
9/30/2021,0.282
10/8/2021,0.334
10/16/2021,0.282
10/24/2021,0.258
11/1/2021,0.241
11/9/2021,0.21
11/17/2021,0.204
11/25/2021,0.214
12/3/2021,0.215
12/11/2021,0.3
12/19/2021,0.213
12/27/2021,0.255
1/1/2022,0.23
1/9/2022,0.187
1/17/2022,
1/25/2022,0.209
2/2/2022,
2/10/2022,0.209
2/18/2022,0.223
2/26/2022,0.194
3/6/2022,0.198
3/14/2022,0.199
3/22/2022,
3/30/2022,0.212
4/7/2022,0.192
4/15/2022,0.22
4/23/2022,0.273
5/1/2022,0.327
5/9/2022,0.386
5/17/2022,0.405
5/25/2022,0.454
6/2/2022,0.454
6/10/2022,0.432
6/18/2022,0.487
6/26/2022,0.511
7/4/2022,0.457
7/12/2022,0.43
7/20/2022,0.39
7/28/2022,0.363
8/5/2022,0.353
8/13/2022,0.328
8/21/2022,0.389
8/29/2022,0.282
9/6/2022,0.247
9/14/2022,0.266
9/22/2022,0.27
9/30/2022,0.237
10/8/2022,
10/16/2022,0.173
10/24/2022,0.173
11/1/2022,
11/9/2022,0.177
11/17/2022,
